TweetPostedTime,TweetID,TweetBody,TweetRetweetFlag,TweetSource,TweetInReplyToStatusID,TweetInReplyToUserID,TweetInReplyToScreenName,TweetRetweetCount,TweetFavoritesCount,TweetHashtags,TweetPlaceID,TweetPlaceName,TweetPlaceFullName,TweetCountry,TweetPlaceBoundingBox,TweetPlaceAttributes,TweetPlaceContainedWithin,UserID,UserName,UserScreenName,UserLocation,UserDescription,UserLink,UserExpandedLink,UserFollowersCount,UserFriendsCount,UserListedCount,UserSignupDate,UserTweetCount,MacroIterationNumber,tweet.place
Fri Nov 11 02:10:46 +0000 2016,796897928048766976,"A fantastic day in D.C. Met with President Obama for first time. Really good meeting, great chemistry. Melania liked Mrs. O a lot!",False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,37346,182919,,,,,,,,,25073877,Donald J. Trump,realDonaldTrump,"New York, NY",President-elect of the United States,https://t.co/mZB2hymxC9,http://www.DonaldJTrump.com,14722209,41,43329,Wed Mar 18 13:46:38 +0000 2009,33981,0,
Fri Nov 04 19:07:20 +0000 2016,794617042888491008,"If Obama worked as hard on straightening out our country as he has trying to protect and elect Hillary, we would all be much better off!",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,42457,103431,,,,,,,,,25073877,Donald J. Trump,realDonaldTrump,"New York, NY",President-elect of the United States,https://t.co/mZB2hymxC9,http://www.DonaldJTrump.com,14722209,41,43329,Wed Mar 18 13:46:38 +0000 2009,33981,0,
Fri Nov 04 16:17:22 +0000 2016,794574267878928384,"""The Clinton Campaign at Obama Justice"" #DrainTheSwamp
https://t.co/LZkvFc071z",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,7605,15024,DrainTheSwamp,5e6cc87c609e3a59,city,"Manchester, NH",United States,"{""type"":""Polygon"",""coordinates"":[[[""-71.5127219"",""42.8909187""],[""-71.3754393"",""42.8909187""],[""-71.3754393"",""43.0514794""],[""-71.5127219"",""43.0514794""]]]}",,,25073877,Donald J. Trump,realDonaldTrump,"New York, NY",President-elect of the United States,https://t.co/mZB2hymxC9,http://www.DonaldJTrump.com,14722209,41,43329,Wed Mar 18 13:46:38 +0000 2009,33981,0,"{""id"":""5e6cc87c609e3a59"",""url"":""https://api.twitter.com/1.1/geo/id/5e6cc87c609e3a59.json"",""place_type"":""city"",""name"":""Manchester"",""full_name"":""Manchester, NH"",""country_code"":""US"",""country"":""United States"",""bounding_box"":{""type"":""Polygon"",""coordinates"":[[[""-71.5127219"",""42.8909187""],[""-71.3754393"",""42.8909187""],[""-71.3754393"",""43.0514794""],[""-71.5127219"",""43.0514794""]]]}}"
