TweetPostedTime,TweetID,TweetBody,TweetRetweetFlag,TweetSource,TweetInReplyToStatusID,TweetInReplyToUserID,TweetInReplyToScreenName,TweetRetweetCount,TweetFavoritesCount,TweetHashtags,TweetPlaceID,TweetPlaceName,TweetPlaceFullName,TweetCountry,TweetPlaceBoundingBox,TweetPlaceAttributes,TweetPlaceContainedWithin,UserID,UserName,UserScreenName,UserLocation,UserDescription,UserLink,UserExpandedLink,UserFollowersCount,UserFriendsCount,UserListedCount,UserSignupDate,UserTweetCount,MacroIterationNumber,tweet.place
Mon Nov 07 13:59:31 +0000 2016,795626738382503937,America is better than Donald Trump. https://t.co/jfd3CXLD1s https://t.co/UYMwkmmxKf,False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",,,,4980,10536,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Mon Nov 07 01:57:39 +0000 2016,795445076084269056,"RT @ABCPolitics: Khizr Khan: ""Thankfully, Mr. Trump, this isn't your America"" https://t.co/c7leuCE9uR https://t.co/6i1c2xwsgg",True,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,4148,0,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Mon Nov 07 01:46:22 +0000 2016,795442237664612352,"""Would my son Capt. Humayun Khan have a place in your America?.Would anyone who isn't like you? -Khizr Khan to Donald Trump",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",795440369039187968,1339835893,HillaryClinton,942,2240,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Sun Nov 06 23:56:23 +0000 2016,795414558626160644,"""My son was Captain Humayun Khan ... and he was a Muslim American. I want to ask Mr. Trump: Would my son have a pla. https://t.co/XzjM7mAhvS",False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",,,,8328,20262,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Sun Nov 06 17:00:46 +0000 2016,795309964290097152,"10 minutes of Donald Trump demeaning, objectifying, and insulting women. https://t.co/3TKJ4H68Kz https://t.co/bgQKjNJqwR",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,4689,6325,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Sun Nov 06 12:58:44 +0000 2016,795249055521787904,"""The reason a lot of [Ku Klux] Klan members like Donald Trump is because a lot of what he believes, we believe in."" https://t.co/WcsNiEHBUI",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",,,,5011,7934,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Sun Nov 06 02:03:32 +0000 2016,795084170913521664,"""Nobody respects women more than me."" -Donald Trump

Other things he's said about women: https://t.co/fM9h1WYHkK",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,17100,28475,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Sat Nov 05 20:17:46 +0000 2016,794997153945022465,"RT @nowthisnews: Jay Z says Donald Trump can't be our president because he divides us https://t.co/7WsGruabQv",True,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,8482,0,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Sat Nov 05 17:46:00 +0000 2016,794958958960279552,"""Donald, you don't want to go there."" -Hillary on Trump asking what she's done for the past 30 years https://t.co/j780NLwguv",False,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",794958484571885568,1339835893,HillaryClinton,2141,5314,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
Sat Nov 05 13:28:10 +0000 2016,794894074037866496,"""That reporter and I have the same condition. When Mr. Trump made fun of him, that hurt my feelings."" https://t.co/fOwLxPsa37",False,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>",,,,15943,26213,,,,,,,,,1339835893,Hillary Clinton,HillaryClinton,"New York, NY","Wife, mom, grandma, women+kids advocate, FLOTUS, Senator, SecState, hair icon, pantsuit aficionado, 2016 presidential candidate. Tweets from Hillary signed -H",https://t.co/xhPHAcvdoc,http://HillaryClinton.com,10990490,760,34230,Tue Apr 09 18:04:35 +0000 2013,9837,0,
