TweetPostedTime,TweetID,TweetBody,TweetRetweetFlag,TweetSource,TweetInReplyToStatusID,TweetInReplyToUserID,TweetInReplyToScreenName,TweetRetweetCount,TweetFavoritesCount,TweetHashtags,TweetPlaceID,TweetPlaceName,TweetPlaceFullName,TweetCountry,TweetPlaceBoundingBox,TweetPlaceAttributes,TweetPlaceContainedWithin,UserID,UserName,UserScreenName,UserLocation,UserDescription,UserLink,UserExpandedLink,UserFollowersCount,UserFriendsCount,UserListedCount,UserSignupDate,UserTweetCount,MacroIterationNumber,tweet.place
Sat Nov 05 21:39:44 +0000 2016,795017781423067136,"Top Clinton Aides Bemoan Campaign 'All Tactics,' No Vision: https://t.co/mHYvQtIq78",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,8245,16601,,,,,,,,,25073877,Donald J. Trump,realDonaldTrump,"New York, NY",President-elect of the United States,https://t.co/mZB2hymxC9,http://www.DonaldJTrump.com,14751551,41,43416,Wed Mar 18 13:46:38 +0000 2009,33981,0,
Sat Nov 05 21:38:01 +0000 2016,795017350688935936,"'Must Act Immediately': Clinton Charity Lawyer Told Execs They Were Breaking The Law
https://t.co/hsi4qhqTV1",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,12832,21472,,,,,,,,,25073877,Donald J. Trump,realDonaldTrump,"New York, NY",President-elect of the United States,https://t.co/mZB2hymxC9,http://www.DonaldJTrump.com,14751551,41,43416,Wed Mar 18 13:46:38 +0000 2009,33981,0,
Fri Nov 04 16:28:36 +0000 2016,794577092453212160,"Clinton Aides: 'Definitely' Not Releasing Some HRC Emails:
https://t.co/GY5pGKaDoW",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,8135,15991,,5e6cc87c609e3a59,city,"Manchester, NH",United States,"{""type"":""Polygon"",""coordinates"":[[[""-71.5127219"",""42.8909187""],[""-71.3754393"",""42.8909187""],[""-71.3754393"",""43.0514794""],[""-71.5127219"",""43.0514794""]]]}",,,25073877,Donald J. Trump,realDonaldTrump,"New York, NY",President-elect of the United States,https://t.co/mZB2hymxC9,http://www.DonaldJTrump.com,14751551,41,43416,Wed Mar 18 13:46:38 +0000 2009,33981,0,"{""id"":""5e6cc87c609e3a59"",""url"":""https://api.twitter.com/1.1/geo/id/5e6cc87c609e3a59.json"",""place_type"":""city"",""name"":""Manchester"",""full_name"":""Manchester, NH"",""country_code"":""US"",""country"":""United States"",""bounding_box"":{""type"":""Polygon"",""coordinates"":[[[""-71.5127219"",""42.8909187""],[""-71.3754393"",""42.8909187""],[""-71.3754393"",""43.0514794""],[""-71.5127219"",""43.0514794""]]]}}"
Fri Nov 04 16:17:22 +0000 2016,794574267878928384,"""The Clinton Campaign at Obama Justice"" #DrainTheSwamp
https://t.co/LZkvFc071z",False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,7609,15027,DrainTheSwamp,5e6cc87c609e3a59,city,"Manchester, NH",United States,"{""type"":""Polygon"",""coordinates"":[[[""-71.5127219"",""42.8909187""],[""-71.3754393"",""42.8909187""],[""-71.3754393"",""43.0514794""],[""-71.5127219"",""43.0514794""]]]}",,,25073877,Donald J. Trump,realDonaldTrump,"New York, NY",President-elect of the United States,https://t.co/mZB2hymxC9,http://www.DonaldJTrump.com,14751551,41,43416,Wed Mar 18 13:46:38 +0000 2009,33981,0,"{""id"":""5e6cc87c609e3a59"",""url"":""https://api.twitter.com/1.1/geo/id/5e6cc87c609e3a59.json"",""place_type"":""city"",""name"":""Manchester"",""full_name"":""Manchester, NH"",""country_code"":""US"",""country"":""United States"",""bounding_box"":{""type"":""Polygon"",""coordinates"":[[[""-71.5127219"",""42.8909187""],[""-71.3754393"",""42.8909187""],[""-71.3754393"",""43.0514794""],[""-71.5127219"",""43.0514794""]]]}}"
Thu Nov 03 23:30:17 +0000 2016,794320826237644805,"RT @PaulaReidCBS: .@CBSNews confirms FBI found emails on #AnthonyWeiner computer, related to Hillary Clinton server, that are ""new"" &amp; not p.",True,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,16578,0,AnthonyWeiner,,,,,,,,25073877,Donald J. Trump,realDonaldTrump,"New York, NY",President-elect of the United States,https://t.co/mZB2hymxC9,http://www.DonaldJTrump.com,14751551,41,43416,Wed Mar 18 13:46:38 +0000 2009,33981,0,
